timestamp,stock_symbol,trade_volume,order_book_depth
2021-01-20 09:00:26.429510400-05:00,GME,495297,4952
2021-01-20 09:01:09.780929280-05:00,GME,260834,2608
2021-01-20 09:05:05.968628992-05:00,GME,173645,1736
2021-01-20 09:08:35.740016640-05:00,GME,245061,2450
2021-01-20 09:22:38.277857024-05:00,GME,341865,3418
2021-01-20 09:24:44.242453248-05:00,GME,1576488,15764
2021-01-20 09:35:43.062121984-05:00,GME,434665,4346
2021-01-20 09:42:06.233176064-05:00,GME,353975,3539
2021-01-20 09:51:14.896175360-05:00,GME,198456,1984
2021-01-20 09:55:47.934251264-05:00,GME,161938,1619
2021-01-20 09:59:15.292952832-05:00,GME,339518,3395
2021-01-20 10:15:25.334363648-05:00,GME,267754,2677
2021-01-20 11:01:50.607603456-05:00,GME,156486,1564
2021-01-20 11:24:37.336311296-05:00,GME,240203,2402
2021-01-20 11:38:32.196945152-05:00,GME,361637,3616
2021-01-20 11:45:11.603337728-05:00,GME,312700,3127
2021-01-20 11:55:22.103457280-05:00,GME,330736,3307
2021-01-20 12:07:01.660690688-05:00,GME,260889,2608
2021-01-20 12:11:37.893864960-05:00,GME,295167,2951
2021-01-20 12:17:59.590124032-05:00,GME,130084,1300
2021-01-20 12:21:10.091328256-05:00,GME,496189,4961
2021-01-20 12:28:26.973372928-05:00,GME,249487,2494
2021-01-20 12:29:04.041257984-05:00,GME,293674,2936
2021-01-20 12:38:01.373187584-05:00,GME,352471,3524
2021-01-20 12:48:56.463296768-05:00,GME,294382,2943
2021-01-20 13:01:30.635002368-05:00,GME,219949,2199
2021-01-20 13:01:46.146191872-05:00,GME,261548,2615
2021-01-20 13:04:44.435155200-05:00,GME,231905,2319
2021-01-20 13:20:23.978978048-05:00,GME,260010,2600
2021-01-20 13:23:12.459714560-05:00,GME,345760,3457
2021-01-20 13:24:20.906087424-05:00,GME,206570,2065
2021-01-20 13:46:19.826800384-05:00,GME,277798,2777
2021-01-20 13:50:09.616566016-05:00,GME,304202,3042
2021-01-20 13:56:52.957597440-05:00,GME,188025,1880
2021-01-20 14:14:59.580763392-05:00,GME,361311,3613
2021-01-20 14:16:38.939751424-05:00,GME,445581,4455
2021-01-20 14:35:33.838463744-05:00,GME,303005,3030
2021-01-20 14:42:11.786360576-05:00,GME,365579,3655
2021-01-20 14:42:47.433445888-05:00,GME,207753,2077
2021-01-20 14:48:12.022452224-05:00,GME,292414,2924
2021-01-20 14:53:17.707599104-05:00,GME,312847,3128
2021-01-20 15:09:55.456997376-05:00,GME,214133,2141
2021-01-20 15:15:13.135877632-05:00,GME,291695,2916
2021-01-20 15:15:42.952073984-05:00,GME,239170,2391
2021-01-20 15:17:47.789057280-05:00,GME,267442,2674
2021-01-20 15:23:33.997637376-05:00,GME,417342,4173
2021-01-20 15:29:22.260967424-05:00,GME,294928,2949
2021-01-20 15:45:40.870244864-05:00,GME,245244,2452
2021-01-20 15:49:18.457585664-05:00,GME,430976,4309
2021-01-20 15:50:18.809102592-05:00,GME,255139,2551
2021-01-20 15:56:18.124380672-05:00,GME,428761,4287
2021-01-20 15:57:38.620276224-05:00,GME,180476,1804
2021-01-20 16:07:54.842115584-05:00,GME,306847,3068
2021-01-20 16:09:50.939453696-05:00,GME,386404,3864
2021-01-20 16:12:17.091214336-05:00,GME,297478,2974
2021-01-20 16:19:57.218455296-05:00,GME,392787,3927
2021-01-20 16:23:12.736936448-05:00,GME,376705,3767
2021-01-20 16:38:13.440068608-05:00,GME,312647,3126
2021-01-20 16:38:25.612343552-05:00,GME,220593,2205
2021-01-20 16:38:53.551681024-05:00,GME,436882,4368
2021-01-20 16:40:10.104705280-05:00,GME,215324,2153
2021-01-20 16:40:15.322087936-05:00,GME,356202,3562
2021-01-20 16:49:37.008807424-05:00,GME,390875,3908
2021-01-20 16:57:19.242376960-05:00,GME,336220,3362
2021-01-20 17:08:17.892373760-05:00,GME,393005,3930
2021-01-20 17:12:15.169446912-05:00,GME,235489,2354
2021-01-20 17:15:45.367586048-05:00,GME,164746,1647
2021-01-20 17:20:50.571395584-05:00,GME,247512,2475
2021-01-20 17:38:00.973370368-05:00,GME,293297,2932
2021-01-20 17:40:24.400492288-05:00,GME,354956,3549
2021-01-20 17:44:49.227939584-05:00,GME,345691,3456
2021-01-20 18:01:58.584748544-05:00,GME,349277,3492
2021-01-20 18:04:28.892897280-05:00,GME,353091,3530
2021-01-20 18:04:56.248771328-05:00,GME,138256,1382
2021-01-20 18:10:39.662531072-05:00,GME,330352,3303
2021-01-20 18:16:17.501668608-05:00,GME,247637,2476
2021-01-20 18:32:05.430261504-05:00,GME,407725,4077
2021-01-20 18:42:51.035965952-05:00,GME,325800,3258
2021-01-20 18:45:11.250106880-05:00,GME,487926,4879
2021-01-20 19:13:20.822596352-05:00,GME,233190,2331
2021-01-20 19:14:58.605594624-05:00,GME,390895,3908
2021-01-20 19:28:00.912192512-05:00,GME,177563,1775
2021-01-20 19:28:11.479004928-05:00,GME,167582,1675
2021-01-20 19:41:38.315563264-05:00,GME,443878,4438
2021-01-20 20:04:31.948623616-05:00,GME,320580,3205
2021-01-20 20:16:42.430140416-05:00,GME,259058,2590
2021-01-20 20:21:43.691702016-05:00,GME,357967,3579
2021-01-20 20:25:39.093567488-05:00,GME,236729,2367
2021-01-20 20:26:10.571639552-05:00,GME,312545,3125
2021-01-20 20:29:52.699150080-05:00,GME,330674,3306
2021-01-20 20:30:17.134807552-05:00,GME,411958,4119
2021-01-20 20:36:16.260845312-05:00,GME,245489,2454
2021-01-20 21:03:44.120106752-05:00,GME,244139,2441
2021-01-20 21:04:13.360158976-05:00,GME,290720,2907
2021-01-20 21:04:49.482141696-05:00,GME,281844,2818
2021-01-20 21:05:13.600978176-05:00,GME,231728,2317
2021-01-20 21:06:37.176031232-05:00,GME,198549,1985
2021-01-20 21:11:44.646392320-05:00,GME,416434,4164
2021-01-20 21:26:14.457562880-05:00,GME,294988,2949
2021-01-20 21:39:53.732871936-05:00,GME,299523,2995
2021-01-20 21:42:25.137673216-05:00,GME,255578,2555
2021-01-20 21:59:19.737242368-05:00,GME,474727,4747
2021-01-20 22:12:33.942055168-05:00,GME,428007,4280
2021-01-20 22:12:58.573477888-05:00,GME,216618,2166
2021-01-20 22:25:15.593687808-05:00,GME,354657,3546
2021-01-20 22:46:14.028115200-05:00,GME,234996,2349
2021-01-20 22:49:38.317645312-05:00,GME,276176,2761
2021-01-20 22:55:25.463346688-05:00,GME,239942,2399
2021-01-20 22:57:35.859653376-05:00,GME,372636,3726
2021-01-20 23:09:02.649820416-05:00,GME,404892,4048
2021-01-20 23:10:41.280780032-05:00,GME,297093,2970
2021-01-20 23:14:17.544789760-05:00,GME,127037,1270
2021-01-20 23:41:04.529217536-05:00,GME,273075,2730
2021-01-20 23:44:06.622019072-05:00,GME,354656,3546
2021-01-20 23:53:18.321688832-05:00,GME,249580,2495
2021-01-20 23:54:57.412062976-05:00,GME,200835,2008
2021-01-20 23:57:34.533178880-05:00,GME,204465,2044
2021-01-21 00:06:36.336188416-05:00,GME,326589,3265
2021-01-21 00:08:49.859869696-05:00,GME,252583,2525
2021-01-21 00:15:54.010855680-05:00,GME,400609,4006
2021-01-21 00:20:36.149345792-05:00,GME,272569,2725
2021-01-21 00:23:48.815383808-05:00,GME,491368,4913
2021-01-21 00:30:51.639427840-05:00,GME,267403,2674
2021-01-21 00:45:25.627665152-05:00,GME,318836,3188
2021-01-21 00:53:49.359149824-05:00,GME,504840,5048
2021-01-21 00:54:02.263795456-05:00,GME,157644,1576
2021-01-21 00:59:41.889445888-05:00,GME,269374,2693
2021-01-21 00:59:46.748742656-05:00,GME,318707,3187
2021-01-21 01:01:07.645518080-05:00,GME,405633,4056
2021-01-21 01:02:22.088311808-05:00,GME,316380,3163
2021-01-21 01:03:27.131401984-05:00,GME,296390,2963
2021-01-21 01:10:48.516685824-05:00,GME,360453,3604
2021-01-21 01:12:36.597285376-05:00,GME,170626,1706
2021-01-21 01:15:38.220553216-05:00,GME,364820,3648
2021-01-21 01:17:14.327826432-05:00,GME,272819,2728
2021-01-21 01:31:48.443101440-05:00,GME,293063,2930
2021-01-21 01:38:15.219267840-05:00,GME,193349,1933
2021-01-21 01:43:43.093026304-05:00,GME,221227,2212
2021-01-21 01:44:30.554319872-05:00,GME,288668,2886
2021-01-21 02:05:51.256570880-05:00,GME,287335,2873
2021-01-21 02:08:33.514055936-05:00,GME,499374,4993
2021-01-21 02:22:32.412855552-05:00,GME,281178,2811
2021-01-21 02:34:29.150249216-05:00,GME,285340,2853
